No.	||	Structure type		||	M1	n_m1	D1	n_d1	D1'	n_d1'	||	M2	n_m2	D2	n_d2	D2'	n_d2'	||	M3	n_m3	D3	n_d3	||	O	nO	||	Ea	Log10A
201	||	d-Bi2O3		||	Bi	1.56	W	0.22			||							||					||	O	3	||	628.047532	4.991095046
202	||	d-Bi2O3		||	Bi	1.6	Er	0.4			||							||					||	O	3	||	1185.185504	10.87190499
203	||	d-Bi2O3		||	Bi	1.5	Er	0.5			||							||					||	O	3	||	1224.50853	10.77173718
204	||	d-Bi2O3		||	Bi	1.4	Er	0.6			||							||					||	O	3	||	1169.133578	10.10148071
205	||	d-Bi2O3		||	Bi	1.3	Er	0.7			||							||					||	O	3	||	1204.131788	9.994570402
206	||	d-Bi2O3		||	Bi	1.2	Er	0.8			||							||					||	O	3	||	1210.570789	9.379792166
207	||	d-Bi2O3		||	Bi	1.09	Er	0.91			||							||					||	O	3	||	1285.955018	9.65776348
208	||	d-Bi2O3		||	Bi	1	Er	1			||							||					||	O	3	||	1314.693571	9.632376582
209	||	d-Bi2O3		||	Bi	0.8	Er	1.2			||							||					||	O	3	||	1354.079595	9.652414135
210	||	d-Bi2O3		||	Bi	1.5	Dy	0.5			||							||					||	O	3	||	1047.501328	9.893458047
211	||	d-Bi2O3		||	Bi	1.43	Dy	0.57			||							||					||	O	3	||	1085.526271	9.711775748
212	||	d-Bi2O3		||	Bi	1.3	Dy	0.7			||							||					||	O	3	||	1075.647616	9.358099648
213	||	d-Bi2O3		||	Bi	1.2	Dy	0.8			||							||					||	O	3	||	1179.885833	9.701896104
