Reference,DOI,Year,Class,Formula,Parsed_Formula_SiteA1,Parsed_Formula_nSiteA1,Parsed_Formula_SiteA2,Parsed_Formula_nSiteA2,Parsed_Formula_SiteA3,Parsed_Formula_nSiteA3,Parsed_Formula_SiteB1,Parsed_Formula_nSiteB1,Parsed_Formula_SiteB2,Parsed_Formula_nSiteB2,Parsed_Formula_SiteB3,Parsed_Formula_nSiteB3,Parsed_Formula_SiteC1,Parsed_Formula_nSiteC1,Parsed_Formula_SiteC2,Parsed_Formula_nSiteC2,Parsed_Formula_O,Parsed_Formula_nO,Ea,A,EaHT,AHT,T*,Type_of_conductivity,Measurement_temperature_range,Measurement,Source,Plot type
"Yang et al., Chem. Mater. 28, 5269 (2016).",10.1021/acs.chemmater.6b02555,2016,Perovskites,Na0.5Bi0.49TiO2.985,Na,0.5,Bi,0.49,,,Ti,1,,,,,,,,,O,2.985,423.4931226,596.5300171,,,,bulk,420 - 773 K,AC,Fig. 1,log sigma-1000/T
"Goodenough et al., Solid State Ion. 44, 21 (1990).",10.1016/0167-2738(90)90039-T,1990,"Perovskite-related, brownmillerites",Ba2In1.75Ce0.25O5.125,Ba,2,,,,,In,1.75,Ce,0.25,,,,,,,O,5.125,1028.024898,1417322.734,,,,bulk,373 - 773 K,AC,Fig. 8,log sigma-1000/T
"Goodenough et al., Solid State Ion. 44, 21 (1990).",10.1016/0167-2738(90)90039-T,1990,"Perovskite-related, brownmillerites",Ba3In2ZrO8,Ba,3,,,,,In,2,Zr,1,,,,,,,O,8,589.4725259,235722.0587,,,,bulk,373 - 773 K,AC,Fig. 8,log sigma-1000/T
"Goodenough et al., Solid State Ion. 44, 21 (1990).",10.1016/0167-2738(90)90039-T,1990,"Perovskite-related, brownmillerites",Ba3In2CeO8,Ba,3,,,,,In,2,Ce,1,,,,,,,O,8,705.4376792,196285.9257,,,,bulk,373 - 773 K,AC,Fig. 8,log sigma-1000/T
"Goodenough et al., Solid State Ion. 44, 21 (1990).",10.1016/0167-2738(90)90039-T,1990,"Perovskite-related, brownmillerites",Ba3In2HfO8,Ba,3,,,,,In,2,Hf,1,,,,,,,O,8,709.7056847,132603.5636,,,,bulk,373 - 773 K,AC,Fig. 8,log sigma-1000/T
"Goodenough et al., Solid State Ion. 44, 21 (1990).",10.1016/0167-2738(90)90039-T,1990,"Perovskite-related, brownmillerites",Ba2In2O5,Ba,2,,,,,In,2,,,,,,,,,O,5,741.6028827,2808.676288,,,,bulk,373 - 773 K,AC,Fig. 8,log sigma-1000/T
"Sharma et al., Solid State Ion. 58, 359 (1992).",10.1016/0167-2738(92)90141-B,1992,"Perovskite-related, others (V-layered)",Bi4V1.9Li0.1O10.8,Bi,4,,,,,V,1.9,Li,0.1,,,,,,,O,10.8,689.1319116,201.0083411,1142.805076,8074774.838,842.7817743,"(not clearly mentioned, probably total)",500 - 900 K,AC,Fig. 2,log sigma-1000/T
"Sharma et al., Solid State Ion. 58, 359 (1992).",10.1016/0167-2738(92)90141-B,1992,"Perovskite-related, others (V-layered)",Bi4V1.8Li0.2O10.6,Bi,4,,,,,V,1.8,Li,0.2,,,,,,,O,10.6,778.5397224,4187.201461,975.0460983,293970.294,706.7236851,"(not clearly mentioned, probably total)",500 - 900 K,AC,Fig. 2,log sigma-1000/T
"Sharma et al., Solid State Ion. 58, 359 (1992).",10.1016/0167-2738(92)90141-B,1992,"Perovskite-related, others (V-layered)",Bi4V1.9Cu0.1O10.85,Bi,4,,,,,V,1.9,Cu,0.1,,,,,,,O,10.85,546.0119886,7.14671554,766.4794849,67562.20544,781.738755,"(not clearly mentioned, probably total)",500 - 900 K,AC,Fig. 2,log sigma-1000/T
"Sharma et al., Solid State Ion. 58, 359 (1992).",10.1016/0167-2738(92)90141-B,1992,"Perovskite-related, others (V-layered)",Bi4V1.8Cu0.2O10.7,Bi,4,,,,,V,1.8,Cu,0.2,,,,,,,O,10.7,950.5381814,194127.0697,0,1,,"(not clearly mentioned, probably total)",500 - 900 K,AC,Fig. 2,log sigma-1000/T
